kanji,top_reading,top_count,alt_readings_json
語,ご,938,"{""かた"": 132}"
由来,ゆらい,913,{}
彼,かれ,727,{}
私,わたし,573,{}
続,つづ,501,{}
見,み,501,"{""けん"": 9}"
新,あたら,405,"{""しん"": 26, ""あら"": 25}"
形式的,けいしきてき,393,{}
退屈,たいくつ,382,{}
時間,じかん,378,{}
人,にん,367,"{""ひと"": 215}"
家族,かぞく,359,{}
大,おお,318,"{""だい"": 25, ""たい"": 1}"
静,しず,313,{}
対,つい,308,"{""たい"": 40}"
英語,えいご,300,{}
彼女,かのじょ,299,{}
前,まえ,294,"{""ぜん"": 17}"
中,なか,280,{}
丁寧,ていねい,271,{}
取,と,259,"{""しゅ"": 1}"
意味,いみ,256,{}
使,つか,252,{}
古,こ,250,"{""ふる"": 200}"
広,ひろ,248,{}
小,ちい,247,"{""しょう"": 13, ""こ"": 2}"
始,はじ,243,{}
手,て,239,{}
朝,あさ,231,{}
長,なが,225,"{""ちょう"": 18}"
立,た,222,{}
声,こえ,220,{}
出,だ,219,"{""で"": 199, ""しゅつ"": 2, ""い"": 1}"
合,あ,210,{}
入,い,210,"{""はい"": 131}"
年,ねん,207,{}
形,かたち,202,{}
家,いえ,200,{}
上,あ,199,"{""うえ"": 115, ""のぼ"": 8}"
子,こ,199,{}
同,おな,198,"{""どう"": 1}"
聞,き,198,{}
深,ふか,198,{}
破棄,はき,198,{}
進,すす,197,"{""すすむ"": 1}"
日,にち,194,"{""ひ"": 120}"
持,も,190,{}
分,ふん,189,"{""わ"": 134}"
向,む,187,"{""こう"": 1}"
気,き,187,{}
高,たか,185,{}
夜,よる,182,{}
地域,ちいき,181,{}
並,なら,178,"{""なみ"": 3, ""な"": 2}"
観客,かんきゃく,177,{}
心,こころ,175,{}
学校,がっこう,173,{}
母,はは,170,"{""かあ"": 8}"
切,き,170,"{""せつ"": 1}"
祖父,そふ,170,{}
本,ほん,169,{}
目,め,169,{}
集,あつ,166,"{""つど"": 5, ""しゅう"": 3}"
書,か,162,"{""かき"": 3}"
自分,じぶん,161,{}
通,とお,161,"{""かよ"": 36, ""つう"": 28}"
多,おお,158,"{""た"": 1}"
整,ととの,158,{}
行,い,157,"{""おこな"": 68, ""ぎょう"": 9, ""おこ"": 3}"
思,おも,157,{}
変,か,157,{}
開,ひら,156,"{""かい"": 1}"
最後,さいご,155,{}
走,はし,154,"{""そう"": 12}"
強,つよ,154,"{""きょう"": 1}"
楽,たの,153,"{""らく"": 15}"
音,おと,153,{}
言葉,ことば,148,{}
込,こ,148,{}
作,つく,147,"{""さく"": 4}"
空,そら,146,"{""あ"": 16, ""す"": 10}"
残,のこ,146,{}
伝,つた,146,"{""でん"": 1}"
重,おも,142,"{""かさ"": 121}"
若,わか,142,"{""じゃく"": 2}"
動,うご,142,"{""どう"": 1}"
名詞,めいし,141,{}
流,なが,141,{}
決,き,139,"{""けっ"": 41}"
祖母,そぼ,138,{}
月,がつ,137,"{""かげつ"": 50, ""なんかげつ"": 2}"
先生,せんせい,136,{}
毎日,まいにち,136,{}
歩,ある,135,"{""あゆ"": 19, ""ほ"": 5}"
止,と,134,"{""や"": 4, ""ど"": 4}"
支,ささ,133,{}
少,すこ,131,"{""すく"": 21, ""ずく"": 1}"
授業,じゅぎょう,131,{}
戻,もど,130,{}
言,い,128,"{""げん"": 7}"
発音,はつおん,125,{}
今,いま,125,{}
呼,よ,124,{}
生徒,せいと,123,{}
大切,たいせつ,122,{}
受,う,121,{}
読,よ,121,{}
練習,れんしゅう,120,{}
忘,わす,120,{}
笑,わら,118,{}
知,し,118,"{""ち"": 2}"
瞬間,しゅんかん,117,{}
選手,せんしゅ,116,{}
写真,しゃしん,116,{}
色,いろ,114,"{""しょく"": 1}"
穏,おだ,114,{}
選,えら,113,{}
確認,かくにん,113,{}
番目,ばんめ,111,{}
増,ふ,111,"{""ま"": 13}"
場,ば,109,{}
現場,げんば,109,{}
水,みず,108,{}
結果,けっか,107,{}
話,はな,107,"{""はなし"": 81}"
父,ちち,107,"{""とう"": 4}"
場所,ばしょ,107,{}
一気,いっき,106,{}
守,まも,106,"{""しゅ"": 5}"
必要,ひつよう,106,{}
直,なお,106,"{""ただ"": 1}"
夏,なつ,105,{}
計画,けいかく,105,{}
食,た,104,"{""しょく"": 6, ""く"": 4, ""は"": 3}"
違,ちが,104,{}
引,ひ,103,{}
終,お,103,{}
雨,あめ,102,{}
習慣,しゅうかん,101,{}
怒,いか,101,{}
学,まな,101,"{""がく"": 6}"
驚,おどろ,100,{}
自然,しぜん,100,{}
無関心,むかんしん,98,{}
回,かい,97,"{""まわ"": 74}"
届,とど,97,"{""とどけ"": 1}"
感,かん,96,{}
地元,じもと,96,{}
見直,みなお,96,{}
近,ちか,95,"{""きん"": 1}"
予定,よてい,95,{}
口,くち,94,{}
短,みじか,94,"{""たん"": 1}"
国,くに,94,{}
教室,きょうしつ,93,{}
拒否,きょひ,93,{}
議論,ぎろん,93,{}
置,お,92,{}
観光客,かんこうきゃく,92,{}
姿,すがた,91,{}
綴,つづ,89,"{""と"": 4}"
暮,く,89,{}
眠,ねむ,88,{}
焼,や,88,"{""やき"": 1}"
温,あたた,88,"{""ぬる"": 18, ""ぬく"": 4}"
歴史,れきし,88,{}
説明,せつめい,88,{}
道,みち,86,{}
細,こま,86,"{""ささ"": 9, ""ほそ"": 5}"
隠,かく,86,{}
全員,ぜんいん,86,{}
頭,あたま,85,{}
落,お,85,{}
時,じ,84,"{""とき"": 50}"
世界,せかい,84,{}
包,つつ,84,{}
姿勢,しせい,84,{}
信頼,しんらい,84,{}
白,しろ,83,{}
町,まち,83,{}
名前,なまえ,83,{}
住民,じゅうみん,82,{}
急,いそ,81,"{""きゅう"": 42, ""せ"": 2}"
風,かぜ,81,{}
過,す,81,"{""か"": 1}"
押,お,81,{}
力,ちから,81,"{""りき"": 5}"
無視,むし,80,{}
伸,の,80,{}
欠,か,80,{}
確,たし,80,{}
買,か,79,{}
足,あし,78,"{""た"": 9}"
日本,にっぽん,78,{}
図書館,としょかん,78,{}
生,う,78,"{""い"": 28, ""なま"": 11, ""しょう"": 3, ""お"": 1}"
超,こ,78,"{""ちょう"": 4}"
省略,しょうりゃく,78,{}
赤,あか,77,{}
意見,いけん,77,{}
初,はじ,75,"{""はつ"": 3}"
動詞,どうし,75,{}
複数形,ふくすうけい,75,{}
今日,きょう,75,{}
公園,こうえん,75,{}
起,お,75,{}
息,いき,75,{}
店,みせ,75,{}
週末,しゅうまつ,75,{}
早,はや,75,"{""そう"": 1}"
慎重,しんちょう,75,{}
部屋,へや,74,{}
海,うみ,74,{}
誰,だれ,73,{}
音楽,おんがく,73,{}
会議,かいぎ,73,{}
最初,さいしょ,73,{}
香,かお,73,"{""こう"": 2, ""かおり"": 1}"
間,かん,72,"{""ま"": 45}"
方,ほう,72,"{""かた"": 31}"
訪,おとず,72,"{""たず"": 2}"
後,あと,71,"{""のち"": 52, ""うし"": 37, ""ご"": 1}"
兄,あに,71,"{""にい"": 4}"
全体,ぜんたい,71,{}
感謝,かんしゃ,71,{}
気持,きも,71,{}
毎朝,まいあさ,71,{}
自転車,じてんしゃ,71,{}
考,かんが,71,{}
得,え,71,"{""とく"": 3}"
答,こた,70,{}
何度,なんど,70,{}
車,くるま,70,{}
映画,えいが,70,{}
語源,ごげん,69,{}
山,やま,69,{}
作業,さぎょう,69,{}
長年,ながねん,69,{}
駅,えき,68,{}
略,りゃく,68,{}
窓,まど,68,{}
抜,ぬ,68,{}
教科書,きょうかしょ,68,{}
手紙,てがみ,68,{}
時代,じだい,68,{}
工場,こうじょう,68,{}
安心,あんしん,68,{}
形式,けいしき,68,{}
形容詞,けいようし,67,{}
乗,の,67,"{""じょう"": 1}"
描,えが,67,{}
安全,あんぜん,67,{}
顔,かお,66,{}
予算,よさん,66,{}
否定,ひてい,66,{}
机,つくえ,65,{}
一緒,いっしょ,65,{}
身,み,65,{}
料理,りょうり,65,{}
世代,せだい,65,{}
表情,ひょうじょう,65,{}
宿題,しゅくだい,64,{}
拍手,はくしゅ,64,{}
光,ひかり,64,"{""ひか"": 19}"
体,からだ,64,{}
寄,よ,64,{}
響,ひび,64,{}
会場,かいじょう,64,{}
緊張,きんちょう,64,{}
判断,はんだん,64,{}
耳,みみ,63,{}
運,はこ,63,"{""うん"": 6}"
対応,たいおう,63,{}
準備,じゅんび,63,{}
近所,きんじょ,63,{}
求,もと,63,{}
命令,めいれい,63,{}
停滞,ていたい,63,{}
若手,わかて,63,{}
点,てん,62,"{""つ"": 2}"
電車,でんしゃ,62,{}
犬,いぬ,62,{}
冬,ふゆ,62,{}
値段,ねだん,62,{}
味,あじ,62,{}
積,つ,62,{}
保,たも,62,{}
与,あた,62,{}
疲,つか,61,{}
席,せき,61,{}
散歩,さんぽ,61,{}
解,と,61,{}
中止,ちゅうし,61,{}
影響,えいきょう,61,{}
怠惰,たいだ,61,{}
相手,あいて,60,{}
覚,おぼ,60,"{""さ"": 19}"
替,か,60,{}
仕事,しごと,60,{}
紙,かみ,60,{}
活動,かつどう,60,{}
一度,いちど,60,{}
整理,せいり,60,{}
駅前,えきまえ,59,{}
庭,にわ,59,{}
売,う,59,{}
弟,おとうと,59,{}
笑顔,えがお,59,{}
一,ひと,59,"{""いち"": 12}"
毎年,まいとし,59,{}
次,つぎ,59,"{""つ"": 2}"
者,もの,59,{}
的,てき,59,"{""まと"": 1}"
撤回,てっかい,59,{}
歳,さい,58,"{""とし"": 13}"
歌,うた,58,{}
監督,かんとく,58,{}
送,おく,58,{}
軽,かる,58,"{""かろ"": 3, ""けい"": 2}"
午後,ごご,58,{}
育,そだ,58,"{""はぐく"": 3, ""いく"": 2}"
空気,くうき,58,{}
中世,ちゅうせい,58,{}
必,かなら,57,{}
頃,ころ,57,"{""ごろ"": 9}"
越,こ,57,{}
質問,しつもん,56,{}
下,さ,56,"{""した"": 53, ""くだ"": 24, ""お"": 16}"
状態,じょうたい,56,{}
突然,とつぜん,56,{}
技術,ぎじゅつ,56,{}
帰,かえ,56,{}
花,はな,56,{}
発表,はっぴょう,56,{}
海外,かいがい,56,{}
研究者,けんきゅうしゃ,56,{}
孫,まご,56,{}
新人,しんじん,56,{}
飛,と,55,{}
打,う,55,{}
夕方,ゆうがた,55,{}
鳴,な,55,{}
会社,かいしゃ,55,{}
敵,てき,55,{}
棚,たな,55,{}
円,えん,55,"{""まる"": 1}"
誕生日,たんじょうび,55,{}
医師,いし,55,{}
先,さき,55,{}
感想,かんそう,55,{}
称賛,しょうさん,55,{}
撤退,てったい,55,{}
肩,かた,54,{}
遊,あそ,54,{}
明,あか,54,"{""あき"": 27, ""あ"": 16, ""めい"": 1}"
着,つ,54,"{""き"": 31, ""ちゃく"": 14}"
遠,とお,54,"{""えん"": 1}"
絵,え,54,{}
減,へ,54,{}
観察,かんさつ,54,{}
文化,ぶんか,54,{}
予想,よそう,54,{}
源,げん,54,{}
示,しめ,54,{}
離,はな,53,"{""り"": 6}"
厳,きび,53,"{""おごそ"": 5}"
同語,どうご,53,{}
友人,ゆうじん,53,{}
問題,もんだい,52,{}
玄関,げんかん,52,{}
明日,あした,52,{}
良,よ,52,{}
仲間,なかま,52,{}
難,むずか,52,"{""むつか"": 3, ""がた"": 1}"
記録,きろく,52,{}
集中,しゅうちゅう,52,{}
揺,ゆ,52,{}
街,まち,52,{}
添,そ,52,{}
保護,ほご,52,{}
客,きゃく,52,{}
研究,けんきゅう,52,{}
破壊,はかい,52,{}
待,ま,51,{}
物,もの,51,{}
速,はや,51,"{""すみ"": 8}"
枚,まい,51,{}
正確,せいかく,51,{}
季節,きせつ,50,{}
全部,ぜんぶ,50,{}
雪,ゆき,50,{}
病院,びょういん,50,{}
食卓,しょくたく,50,{}
電話,でんわ,50,{}
物語,ものがたり,50,"{""ものがた"": 10}"
古代,こだい,50,{}
深夜,しんや,50,{}
大学,だいがく,50,{}
教育,きょういく,50,{}
友達,ともだち,49,{}
川,かわ,49,{}
覆,おお,48,"{""くつがえ"": 3}"
試合,しあい,48,{}
寒,さむ,48,{}
注意,ちゅうい,48,{}
建物,たてもの,48,{}
半年,はんとし,48,{}
差,さ,48,{}
返,かえ,48,{}
済,す,48,{}
経験,けいけん,48,{}
代,か,48,"{""だい"": 22}"
結,むす,48,{}
冷静,れいせい,48,{}
危険,きけん,48,{}
好,す,47,"{""この"": 23, ""こう"": 1}"
消,き,47,"{""け"": 36}"
意識,いしき,47,{}
夕食,ゆうしょく,47,{}
喜,よろこ,47,{}
計算,けいさん,47,{}
迎,むか,47,{}
偶然,ぐうぜん,47,{}
企業,きぎょう,47,{}
迷,まよ,46,{}
投,な,46,"{""とう"": 4}"
外,そと,46,"{""はず"": 21}"
個,こ,46,{}
働,はたら,46,{}
度,ど,46,{}
動物,どうぶつ,46,{}
夏休,なつやす,46,{}
来,き,46,"{""く"": 11, ""こ"": 1}"
場面,ばめん,46,{}
上司,じょうし,46,{}
改,あらた,46,"{""かい"": 3}"
評価,ひょうか,46,{}
教,おし,45,"{""おそ"": 13, ""きょう"": 5}"
隣,となり,45,{}
木,き,45,{}
寝,ね,45,{}
振,ふ,45,{}
胸,むね,45,{}
文化祭,ぶんかさい,45,{}
英国,えいこく,45,{}
人々,ひとびと,45,{}
当時,とうじ,45,{}
資料,しりょう,45,{}
共有,きょうゆう,45,{}
壊,こわ,44,{}
捨,す,44,{}
新聞,しんぶん,44,{}
勉強,べんきょう,44,{}
美,うつく,44,"{""び"": 3}"
以上,いじょう,44,{}
薬,くすり,44,{}
表現,ひょうげん,44,{}
互,たが,44,{}
経済,けいざい,44,{}
店員,てんいん,44,{}
禁止,きんし,44,{}
踏,ふ,44,{}
成功,せいこう,44,{}
教師,きょうし,44,{}
患者,かんじゃ,44,{}
会話,かいわ,44,{}
支援,しえん,44,{}
形式化,けいしきか,44,{}
探,さが,43,"{""さぐ"": 6}"
食事,しょくじ,43,{}
遅,おく,43,"{""おそ"": 20}"
朝食,ちょうしょく,43,{}
地図,ちず,43,{}
登山,とざん,43,{}
見守,みまも,43,{}
祝,いわ,43,{}
浮,う,43,{}
予約,よやく,43,{}
倉庫,そうこ,43,{}
環境,かんきょう,43,{}
歓迎,かんげい,43,{}
黙,だま,43,{}
工夫,くふう,43,{}
両方,りょうほう,42,{}
変化,へんか,42,{}
青,あお,42,{}
当,あ,42,{}
妹,いもうと,42,{}
渡,わた,42,"{""わたり"": 1}"
屋根,やね,42,{}
箱,はこ,42,{}
貼,は,42,{}
保護者,ほごしゃ,42,{}
失敗,しっぱい,42,{}
完全,かんぜん,42,{}
存在,そんざい,42,{}
孤立,こりつ,42,{}
参加者,さんかしゃ,42,{}
拒絶,きょぜつ,42,{}
座,すわ,41,"{""ざ"": 5}"
文字,もじ,41,{}
数,かず,41,"{""かぞ"": 32}"
休,やす,41,{}
床,ゆか,41,{}
全,まった,41,"{""ぜん"": 2, ""すべ"": 1}"
旅,たび,41,{}
気候,きこう,41,{}
騒,さわ,41,{}
年間,ねんかん,41,{}
失,うしな,41,"{""う"": 2, ""な"": 1, ""しつ"": 1}"
結論,けつろん,41,{}
自治体,じちたい,41,{}
悲,かな,40,{}
痛,いた,40,{}
甘,あま,40,"{""かん"": 2}"
内容,ないよう,40,{}
加,くわ,40,"{""か"": 1}"
途中,とちゅう,40,{}
確実,かくじつ,40,{}
改善,かいぜん,40,{}
曖昧,あいまい,40,{}
保留,ほりゅう,40,{}
風邪,かぜ,39,{}
飲,の,39,{}
陸,りく,39,{}
趣味,しゅみ,39,{}
壁,かべ,39,{}
辞書,じしょ,39,{}
船,ふね,39,{}
湖,みずうみ,39,{}
毎週,まいしゅう,39,{}
祭,まつ,39,{}
一瞬,いっしゅん,39,{}
現代,げんだい,39,{}
理解,りかい,39,{}
抑,おさ,39,{}
聴衆,ちょうしゅう,39,{}
書類,しょるい,39,{}
対立,たいりつ,39,{}
強引,ごういん,39,{}
週,しゅう,38,{}
何,なに,38,"{""なん"": 9}"
氷,こおり,38,{}
野菜,やさい,38,{}
備,そな,38,{}
扱,あつか,38,{}
追,お,38,{}
駆,か,38,{}
景色,けしき,38,{}
世界中,せかいじゅう,38,{}
宇宙,うちゅう,38,{}
歓声,かんせい,38,{}
提案,ていあん,38,{}
職人,しょくにん,38,{}
一人,ひとり,38,{}
社員,しゃいん,38,{}
対話,たいわ,38,{}
鳥,とり,37,{}
輪,わ,37,{}
区別,くべつ,37,{}
時計,とけい,37,{}
奥,おく,37,{}
森,もり,37,{}
女性,じょせい,37,{}
囲,かこ,37,{}
桜,さくら,37,{}
洗,あら,37,{}
参加,さんか,37,{}
詰,つ,37,{}
袋,ふくろ,37,{}
挑戦,ちょうせん,37,{}
一段,いちだん,37,{}
魚,さかな,37,{}
撮,と,37,{}
専門家,せんもんか,37,{}
飾,かざ,37,{}
約束,やくそく,37,{}
眺,なが,37,{}
再,ふたた,37,"{""さい"": 10}"
作品,さくひん,37,{}
舞台,ぶたい,37,{}
未来,みらい,37,{}
地道,じみち,37,"{""ぢみち"": 2}"
話題,わだい,37,{}
防,ふせ,37,{}
予測,よそく,37,{}
怖,こわ,36,{}
間違,まちが,36,{}
努力,どりょく,36,{}
輝,かがや,36,{}
服,ふく,36,{}
病気,びょうき,36,{}
台所,だいどころ,36,{}
誇,ほこ,36,{}
仕組,しく,36,{}
展示,てんじ,36,{}
報告,ほうこく,36,{}
連絡,れんらく,36,{}
完成,かんせい,36,{}
保存,ほぞん,36,{}
傾,かたむ,36,{}
方針,ほうしん,36,{}
視点,してん,36,{}
目標,もくひょう,35,{}
腕,うで,35,{}
住,す,35,{}
元気,げんき,35,{}
鏡,かがみ,35,{}
傘,かさ,35,{}
数学,すうがく,35,{}
葉,は,35,{}
観光,かんこう,35,{}
本番,ほんばん,35,{}
用意,ようい,35,{}
中心,ちゅうしん,35,{}
休日,きゅうじつ,35,{}
半分,はんぶん,35,{}
先輩,せんぱい,35,{}
交,か,35,"{""まじ"": 20, ""ま"": 1, ""こう"": 1}"
健康,けんこう,35,{}
課題,かだい,35,{}
情報,じょうほう,35,{}
仕上,しあ,35,{}
制度,せいど,35,{}
表,あらわ,34,"{""おもて"": 8, ""あら"": 3}"
丸,まる,34,{}
靴,くつ,34,{}
島,しま,34,{}
優,やさ,34,"{""まさ"": 4}"
冷,つめ,34,"{""ひ"": 31, ""さ"": 4}"
中央,ちゅうおう,34,{}
天気,てんき,34,{}
週間,しゅうかん,34,{}
控,ひか,34,{}
幼,おさな,34,"{""よう"": 8, ""いとけな"": 1}"
塗,ぬ,34,"{""ぬり"": 1}"
首都,しゅと,34,{}
周囲,しゅうい,34,{}
市場,しじょう,34,{}
生活,せいかつ,34,{}
職場,しょくば,34,{}
翻訳,ほんやく,34,{}
発見,はっけん,34,{}
風景,ふうけい,34,{}
着実,ちゃくじつ,34,{}
中英,ちゅうえい,34,{}
畑,はたけ,33,{}
借,か,33,{}
暗,くら,33,"{""あん"": 2}"
画面,がめん,33,{}
階,かい,33,{}
道具,どうぐ,33,{}
動詞形,どうしけい,33,{}
読者,どくしゃ,33,{}
案内,あんない,33,{}
都市,とし,33,{}
市民,しみん,33,{}
末,まつ,33,{}
行事,ぎょうじ,33,{}
学生,がくせい,33,{}
心地,ここち,33,{}
様子,ようす,33,{}
相談,そうだん,33,{}
柔,やわ,33,{}
和,やわ,33,"{""なご"": 17, ""わ"": 2}"
司会者,しかいしゃ,33,{}
不安,ふあん,33,{}
豊,ゆた,33,{}
停止,ていし,33,{}
顧客,こきゃく,33,{}
感情的,かんじょうてき,33,{}
応援,おうえん,32,{}
吹,ふ,32,{}
拾,ひろ,32,{}
雲,くも,32,{}
放課後,ほうかご,32,{}
戦争,せんそう,32,{}
素早,すばや,32,{}
用,よう,32,"{""もち"": 9}"
組,く,32,"{""くみ"": 7}"
海岸,かいがん,32,{}
出会,であ,32,{}
提出,ていしゅつ,32,{}
港,みなと,32,{}
撮影,さつえい,32,{}
波,なみ,32,{}
事実,じじつ,32,{}
明確,めいかく,32,{}
霧,きり,32,{}
事故,じこ,32,{}
面接,めんせつ,32,{}
原義,げんぎ,32,{}
事業,じぎょう,32,{}
米国,べいこく,32,{}
今年,ことし,31,{}
校庭,こうてい,31,{}
髪,かみ,31,{}
首,くび,31,{}
有名,ゆうめい,31,{}
低,ひく,31,"{""てい"": 2}"
満,み,31,"{""まん"": 2}"
状況,じょうきょう,31,{}
同時,どうじ,31,{}
化,か,31,"{""ば"": 12}"
山頂,さんちょう,31,{}
破,やぶ,31,{}
移動,いどう,31,{}
染,そ,31,{}
罰,ばつ,31,{}
側,がわ,31,{}
頼,たよ,31,"{""たの"": 22}"
協力,きょうりょく,31,{}
嵐,あらし,31,{}
次々,つぎつぎ,31,{}
手順,てじゅん,31,{}
回復,かいふく,31,{}
祝福,しゅくふく,31,{}
余裕,よゆう,31,{}
体制,たいせい,31,{}
猫,ねこ,30,{}
帽子,ぼうし,30,{}
秋,あき,30,{}
原因,げんいん,30,{}
荷物,にもつ,30,{}
男性,だんせい,30,{}
階段,かいだん,30,{}
過去分詞,かこぶんし,30,{}
普通,ふつう,30,{}
罰金,ばっきん,30,{}
沈,しず,30,{}
一日,いちにち,30,"{""ついたち"": 3}"
学習,がくしゅう,30,{}
特別,とくべつ,30,{}
宣伝,せんでん,30,{}
広告,こうこく,30,{}
複数,ふくすう,30,{}
成長,せいちょう,30,{}
倍,ばい,30,{}
平和,へいわ,30,{}
重要,じゅうよう,30,{}
博物館,はくぶつかん,30,{}
翌朝,よくあさ,30,{}
新品,しんぴん,30,{}
電気,でんき,30,{}
見送,みおく,30,{}
美術館,びじゅつかん,30,{}
名,めい,30,{}
記者,きしゃ,30,{}
巨大,きょだい,30,{}
義務,ぎむ,30,{}
集中力,しゅうちゅうりょく,30,{}
体育館,たいいくかん,29,{}
指,さ,29,"{""ゆび"": 26}"
転,ころ,29,"{""てん"": 5, ""こか"": 1}"
規則,きそく,29,{}
個人,こじん,29,{}
姉,あね,29,"{""ねえ"": 4}"
緑,みどり,29,{}
問,と,29,"{""もん"": 11, ""とん"": 1}"
閉,と,29,"{""し"": 16, ""へい"": 1}"
太陽,たいよう,29,{}
湯,ゆ,29,{}
見上,みあ,29,{}
建,た,29,{}
指示,しじ,29,{}
演奏,えんそう,29,{}
現,あらわ,29,{}
冷蔵庫,れいぞうこ,29,{}
凍,こお,29,"{""こご"": 3}"
動画,どうが,29,{}
読書,どくしょ,29,{}
看板,かんばん,29,{}
比,くら,29,{}
感情,かんじょう,29,{}
悩,なや,29,{}
見学,けんがく,29,{}
台風,たいふう,29,{}
夢,ゆめ,29,{}
含,ふく,29,{}
機会,きかい,29,{}
全国,ぜんこく,29,{}
高価,こうか,29,"{""たか"": 1}"
毎月,まいつき,29,{}
調整,ちょうせい,29,{}
映像,えいぞう,29,{}
関係,かんけい,29,{}
質,しつ,29,{}
進路,しんろ,29,{}
快適,かいてき,29,{}
管理,かんり,29,{}
閉鎖,へいさ,29,{}
年生,ねんせい,28,{}
刻,きざ,28,"{""こく"": 2}"
一番,いちばん,28,{}
約,やく,28,{}
涙,なみだ,28,{}
幸運,こううん,28,{}
運動,うんどう,28,{}
天井,てんじょう,28,{}
乾,かわ,28,{}
年齢,ねんれい,28,{}
休憩,きゅうけい,28,{}
経,へ,28,"{""た"": 9, ""けい"": 1}"
卵,たまご,28,{}
磨,みが,28,{}
入口,いりぐち,28,{}
簡単,かんたん,28,{}
注文,ちゅうもん,28,{}
単語,たんご,28,{}
理科,りか,28,{}
単位,たんい,28,{}
目覚,めざ,28,{}
実験,じっけん,28,{}
後輩,こうはい,28,{}
受付,うけつけ,28,{}
埋,う,28,{}
費用,ひよう,28,{}
優勝,ゆうしょう,28,{}
反対,はんたい,28,{}
見事,みごと,28,{}
避,さ,28,{}
到着,とうちゃく,28,{}
最新,さいしん,28,{}
励,はげ,28,{}
目次,もくじ,28,{}
対策,たいさく,28,{}
独特,どくとく,28,{}
日々,ひび,28,{}
活気,かっき,28,{}
発言,はつげん,28,{}
椅子,いす,27,{}
野球,やきゅう,27,{}
番組,ばんぐみ,27,{}
曲,ま,27,"{""きょく"": 25}"
歯,は,27,{}
登,のぼ,27,{}
晴,は,27,{}
枝,えだ,27,{}
肉,にく,27,{}
希望,きぼう,27,{}
暑,あつ,27,"{""しょ"": 2}"
片付,かたづ,27,{}
機械,きかい,27,{}
一斉,いっせい,27,{}
本人,ほんにん,27,{}
映,うつ,27,"{""は"": 2}"
家具,かぐ,27,{}
試験,しけん,27,{}
社会,しゃかい,27,{}
廊下,ろうか,27,{}
限,かぎ,27,{}
結婚式,けっこんしき,27,{}
握,にぎ,27,{}
役割,やくわり,27,{}
中断,ちゅうだん,27,{}
素材,そざい,27,{}
長期的,ちょうきてき,27,{}
納得,なっとく,27,{}
合意,ごうい,27,{}
設,もう,27,{}
触,ふ,26,{}
黒,くろ,26,{}
似,に,26,{}
菓子,かし,26,{}
熱,ねつ,26,"{""あつ"": 14}"
別,べつ,26,"{""わか"": 13}"
金,かね,26,"{""きん"": 26}"
降,ふ,26,"{""お"": 24}"
出来事,できごと,26,{}
通勤,つうきん,26,{}
複雑,ふくざつ,26,{}
石,いし,26,{}
計画的,けいかくてき,26,{}
測,はか,26,{}
独自,どくじ,26,{}
商店街,しょうてんがい,26,{}
外国,がいこく,26,{}
伝統,でんとう,26,{}
巻,ま,26,"{""かん"": 3}"
傷,きず,26,"{""いた"": 2}"
影,かげ,26,{}
十分,じゅうぶん,26,{}
恐,おそ,26,{}
若者,わかもの,26,{}
祈,いの,26,{}
体験,たいけん,26,{}
市,し,26,{}
一時的,いちじてき,26,{}
係,かかり,26,{}
性格,せいかく,26,{}
商品,しょうひん,26,{}
認,みと,26,{}
結局,けっきょく,26,{}
辞退,じたい,26,{}
交流,こうりゅう,26,{}
起源,きげん,26,{}
地方,ちほう,26,{}
誤,あやま,26,"{""ご"": 3}"
保管,ほかん,26,{}
投資,とうし,26,{}
性,せい,26,{}
連携,れんけい,26,{}
部分,ぶぶん,25,{}
腰,こし,25,{}
泳,およ,25,{}
張,は,25,{}
数字,すうじ,25,{}
背,せ,25,{}
星,ほし,25,{}
助,たす,25,{}
黒板,こくばん,25,{}
汗,あせ,25,{}
板,いた,25,{}
春,はる,25,{}
自信,じしん,25,{}
行動,こうどう,25,{}
制服,せいふく,25,{}
目的,もくてき,25,{}
大人,おとな,25,{}
人生,じんせい,25,{}
報酬,ほうしゅう,25,{}
忙,いそが,25,{}
深呼吸,しんこきゅう,25,{}
皿,さら,25,{}
整備,せいび,25,{}
不足,ふそく,25,{}
一歩,いっぽ,25,{}
配,くば,25,{}
冊,さつ,25,{}
自由,じゆう,25,{}
沈黙,ちんもく,25,{}
土地,とち,25,{}
成果,せいか,25,{}
熱心,ねっしん,25,{}
陽気,ようき,25,{}
在庫,ざいこ,25,{}
記憶,きおく,25,{}
尊重,そんちょう,25,{}
確保,かくほ,25,{}
古典的,こてんてき,25,{}
誠実,せいじつ,25,{}
品,ひん,25,{}
観察者,かんさつしゃ,25,{}
徹底,てってい,25,{}
派手,はで,25,{}
雰囲気,ふんいき,25,{}
勝,か,24,"{""まさ"": 2, ""しょう"": 1}"
横,よこ,24,{}
長時間,ちょうじかん,24,{}
燃,も,24,{}
散,ち,24,{}
部活,ぶかつ,24,{}
締,し,24,{}
飼,か,24,{}
代表,だいひょう,24,{}
汚,よご,24,"{""きたな"": 2}"
部,ぶ,24,{}
付,つ,24,"{""ふ"": 2, ""つき"": 1}"
家庭,かてい,24,{}
牛乳,ぎゅうにゅう,24,{}
混,ま,24,"{""こ"": 6}"
南,みなみ,24,{}
正,ただ,24,"{""せい"": 1}"
旅行,りょこう,24,{}
祖父母,そふぼ,24,{}
両親,りょうしん,24,{}
